RR_l_0,RR_l_0/RR_l_1,RR_l_1,RR_l_1/RR_l_2,RR_l_2,RR_l_2/RR_l_3,RR_l_3,RR_l_3/RR_l_4,RR_r_0,RR_r_0/RR_r_1,RR_r_1,RR_r_1/RR_r_2,RR_r_2,RR_r_2/RR_r_3,RR_r_3,RR_r_3/RR_r_4,seq_size,signal_mean,signal_std,wl_side,wr_side,P_val,Q_val,R_val,S_val,T_val,P_pos,Q_pos,R_pos,S_pos,T_pos,label
111.0,1.0,111.0,1.009090909090909,110.0,1.0091743119266054,109.0,0.4823008849557522,128.0,0.5688888888888889,225.0,1.0180995475113122,221.0,0.9910313901345292,223.0,1.9910714285714288,161.0,-0.1691290830107561,0.9834236398304758,72.0,89.0,1.5529667668307354,-0.4152881899682529,2.74142944528674,-1.6106101367329515,2.4030502368940163,0.42,0.385,0.455,0.65,0.475,2.0
225.0,1.0089686098654709,223.0,1.0276497695852536,217.0,0.9475982532751092,229.0,1.0504587155963303,110.0,0.5045871559633027,218.0,1.9292035398230087,113.0,1.0560747663551402,107.0,0.9727272727272728,157.0,0.0101759826836615,0.9063260828004416,80.0,77.0,1.02319423666454,-0.3293863306887025,2.838123723118186,-0.7402074587964189,0.0316031905668722,0.455,0.425,0.51,0.57,0.86,2.0
221.0,1.6870229007633588,131.0,0.4943396226415094,265.0,1.853146853146853,143.0,0.5860655737704918,238.0,1.9193548387096775,124.0,0.5662100456621004,219.0,1.319277108433735,166.0,0.9822485207100592,253.0,-0.0962825246400319,0.513744602384345,87.0,166.0,1.273207267146958,-0.3413436412019423,2.285928988147873,-0.5726668796377511,-0.4563528978104958,0.32,0.28,0.345,0.4,0.59,2.0
147.0,1.0352112676056338,142.0,0.953020134228188,149.0,0.9612903225806452,155.0,0.9171597633136096,242.0,1.423529411764706,170.0,1.0,170.0,0.9659090909090908,176.0,1.0864197530864197,224.0,-0.2499305959004489,0.6200256611982928,55.0,169.0,0.7600053490020028,-0.2364367340717513,1.3563178966715026,-2.138289917719522,0.4373940925804521,0.23,0.2,0.25,0.305,0.435,2.0
105.0,0.9905660377358492,106.0,0.9464285714285714,112.0,1.0,112.0,1.0467289719626167,120.0,1.188118811881188,101.0,0.8145161290322581,124.0,1.1272727272727272,110.0,1.0,153.0,-0.172524704558147,0.9175362702986776,69.0,84.0,1.574967789452178,-0.2712209143532064,2.6601653598653527,-1.4852193723364948,2.2148974332262736,0.425,0.385,0.46,0.66,0.485,2.0
134.0,0.9571428571428572,140.0,1.5909090909090908,88.0,0.6068965517241379,145.0,0.9119496855345912,163.0,1.1897810218978102,137.0,0.7405405405405405,185.0,1.3120567375886525,141.0,0.9463087248322148,176.0,-0.2174563447379708,0.4043561120837178,62.0,114.0,0.7428923147835751,-0.2086092681532503,1.250495990257556,0.1837698684188906,0.2959512177719131,0.33,0.26,0.35,0.41,0.42,2.0
159.0,1.143884892086331,139.0,0.4744027303754266,293.0,2.401639344262295,122.0,0.7134502923976608,183.0,1.7264150943396226,106.0,0.6385542168674698,166.0,1.537037037037037,108.0,0.6708074534161491,209.0,0.0770552136970808,0.5711513208054341,81.0,128.0,0.7235945152450725,0.8000404085165944,1.0470182681205369,0.9257064012069098,0.986279140370351,0.495,0.56,0.58,0.595,0.6,2.0
192.0,1.3714285714285714,140.0,1.09375,128.0,0.7272727272727273,176.0,1.353846153846154,168.0,1.4736842105263157,114.0,0.8976377952755905,127.0,0.675531914893617,188.0,1.1124260355029585,186.0,-0.112570827481132,0.3474348081880227,69.0,117.0,0.9139976568544692,-0.0767848138927866,1.0779290645038615,-0.5422022020846503,-0.2966857328729065,0.34,0.24,0.365,0.53,0.635,2.0
104.0,0.7878787878787878,132.0,1.5,88.0,1.035294117647059,85.0,0.4594594594594595,158.0,1.3166666666666667,120.0,0.9917355371900828,121.0,1.5125,80.0,0.4968944099378882,167.0,-0.1936509864235914,0.6445109778765207,57.0,110.0,0.5164738978558957,0.2729972416645131,0.8157273477305574,-0.1446273854825775,0.483309623793745,0.53,0.47,0.6,0.76,0.65,2.0
162.0,0.6090225563909775,266.0,1.4456521739130437,184.0,1.362962962962963,135.0,0.5443548387096774,188.0,1.0742857142857143,175.0,1.1217948717948718,156.0,0.9873417721518988,158.0,1.58,196.0,-0.2223769039991039,0.365946374980163,65.0,131.0,-0.1460352775199409,-0.2692141763952404,1.201185600040085,0.0565306549974569,0.1634570082849166,0.185,0.23,0.33,0.385,0.395,2.0
328.0,2.8521739130434782,115.0,0.732484076433121,157.0,1.2764227642276422,123.0,0.984,162.0,1.255813953488372,129.0,0.9847328244274808,131.0,0.9632352941176472,136.0,0.8292682926829268,204.0,-0.0514856179649129,0.2525678466053221,91.0,113.0,0.4304539418403927,0.4450845140266675,0.5024202666200881,0.1409512078919686,0.498113035692972,0.605,0.625,0.64,0.725,0.655,2.0
160.0,1.2307692307692308,130.0,0.8280254777070064,157.0,1.0194805194805194,154.0,1.2941176470588236,215.0,1.5579710144927537,138.0,1.022222222222222,135.0,0.7377049180327869,183.0,1.2119205298013245,228.0,-0.7889698739692852,0.6831369295355357,78.0,150.0,1.1483475967785526,1.3044096167261463,1.4749587840922445,-1.965282561679548,-1.0316531756845952,0.305,0.34,0.35,0.54,0.4,2.0
150.0,0.9316770186335404,161.0,0.9526627218934912,169.0,1.69,100.0,0.4739336492890995,211.0,1.2787878787878788,165.0,1.65,100.0,0.5291005291005291,189.0,1.3897058823529411,217.0,-0.1924253624708003,0.3190506020042133,70.0,147.0,-0.1716710148239711,-0.3508333250420016,1.3828377203542837,-0.3555163658874118,-0.1670861239656541,0.17,0.28,0.325,0.395,0.565,2.0
